Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,name_2.started,key_resp_3.started,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,pic_2.started,name_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,25,25,12,k,0.0757109000114724,None,,,,12,25,25,1,,,,,4.658242400037125,,,,,,,,,4.623522400041111,4.658242400037125,4.658242400037125,4.658242400037125,4.658242400037125,4.758843999938108,k,0.0757109000114724,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,26,26,13,k,0.08532589999958873,None,,,,13,26,26,1,,,,,4.791454099933617,,,,,,,,,4.771920099970885,4.791454099933617,4.791454099933617,4.791454099933617,4.791454099933617,4.89169049996417,k,0.08532589999958873,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,27,27,14,j,0.13148929993622005,None,,,,14,27,27,1,,,,,4.924943899968639,,,,,,,,,4.905147399986163,4.924943899968639,4.924943899968639,4.924943899968639,4.924943899968639,5.058622100041248,j,0.13148929993622005,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,28,28,13,j,0.14491299993824214,None,,,,13,28,28,0,,,,,5.091498999972828,,,,,,,,,5.071808299981058,5.091498999972828,5.091498999972828,5.091498999972828,5.091498999972828,5.241550200036727,j,0.14491299993824214,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,29,29,14,j,0.09697010007221252,None,,,,14,29,29,0,,,,,5.2747698000166565,,,,,,,,,5.254746999940835,5.2747698000166565,5.2747698000166565,5.2747698000166565,5.2747698000166565,5.375047900015488,j,0.09697010007221252,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,30,30,15,j,0.09106100001372397,None,,,,15,30,30,1,,,,,5.407991599990055,,,,,,,,,5.388860699953511,5.407991599990055,5.407991599990055,5.407991599990055,5.407991599990055,5.509865100029856,j,0.09106100001372397,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,31,31,15,j,0.08374400006141514,None,,,,15,31,31,0,,,,,5.542767999926582,,,,,,,,,5.522702899994329,5.542767999926582,5.542767999926582,5.542767999926582,5.542767999926582,5.658554699970409,j,0.08374400006141514,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,32,32,16,k,0.12213450006674975,None,,,,16,32,32,1,,,,,5.69210500002373,,,,,,,,,5.6723168999888,5.69210500002373,5.69210500002373,5.69210500002373,5.69210500002373,5.825044799945317,k,0.12213450006674975,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,33,33,16,k,0.12828679999802262,None,,,,16,33,33,0,,,,,5.858307000016794,,,,,,,,,5.8381619999418035,5.858307000016794,5.858307000016794,5.858307000016794,5.858307000016794,5.991697399993427,k,0.12828679999802262,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,34,34,17,k,0.10342529998160899,None,,,,17,34,34,1,,,,,6.025247799931094,,,,,,,,,6.004813999985345,6.025247799931094,6.025247799931094,6.025247799931094,6.025247799931094,6.141552299959585,k,0.10342529998160899,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
