thisRow.t,notes,Name,Face,NameGender,ResponseKey,RT,Timeout,participant,session,
,,ประเสริฐ,face2_w.png,m,k,None,Yes,testwoi,001,
,,มานะ,face7_m.png,m,k,0.25047590000008313,No,testwoi,001,
,,วันเพ็ญ,face2_m.png,f,k,0.3339611999999761,No,testwoi,001,
,,ฟ้าใส,face10_w.png,f,k,0.18362700000000132,No,testwoi,001,
,,สมชาย,face9_m.png,m,j,0.3173746999999594,No,testwoi,001,
,,บุญชู,face2_m.png,m,j,0.26725680000004104,No,testwoi,001,
,,บุญชู,face10_m.png,m,j,0.2838272000000188,No,testwoi,001,
,,ใบเฟิร์น,face10_m.png,f,j,0.2835725000001048,No,testwoi,001,
,,ประทีป,face7_w.png,m,j,0.11759119999999257,No,testwoi,001,
,,บุญชู,face4_w.png,m,j,0.1665467999999919,No,testwoi,001,
,,สมหมาย,face2_w.png,m,j,0.2003048999999919,No,testwoi,001,
,,ชูศักดิ์,face9_m.png,m,j,0.26700849999997445,No,testwoi,001,
,,มั่นคง,face4_m.png,m,j,0.3999427999999625,No,testwoi,001,
,,ฟ้าใส,face4_m.png,f,j,0.18363699999997607,No,testwoi,001,
,,สมชาย,face3_w.png,m,j,0.10035960000004707,No,testwoi,001,
,,ดวงแก้ว,face10_w.png,f,j,0.3001056000000517,No,testwoi,001,
,,มานะ,face10_m.png,m,j,0.15025739999998677,No,testwoi,001,
,,แก้วตา,face7_m.png,f,j,0.26689749999991363,No,testwoi,001,
,,สมชาย,face7_m.png,m,j,0.11745719999998983,No,testwoi,001,
,,ทับทิม,face8_m.png,f,j,0.11670359999993707,No,testwoi,001,
,,สายใจ,face8_w.png,f,j,0.48410230000001775,No,testwoi,001,
,,บุญชู,face5_w.png,m,j,0.23351020000006883,No,testwoi,001,
,,ประเสริฐ,face9_w.png,m,j,0.3671286000000009,No,testwoi,001,
