Male,Female,Image,Name,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,Mname.started,men_pic.started,female_pic_2.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
None,None,None,วาสนา,10,10,0,j,0.5963677000254393,None,0,10,10,12,6.364339500083588,,6.348567500011995,6.364339500083588,6.364339500083588,6.364339500083588,6.364339500083588,6.364339500083588,6.364339500083588,6.965345300035551,j,0.5963677000254393,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,สุพัตรา,11,11,0,j,0.7443134000059217,None,0,11,11,13,6.982520200079307,,6.9658932000165805,6.982520200079307,6.982520200079307,6.982520200079307,6.982520200079307,6.982520200079307,6.982520200079307,7.732144300010987,j,0.7443134000059217,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,พิมพ์ใจ,12,12,0,k,0.4652079999214038,None,0,12,12,11,7.747881400049664,,7.735088600078598,7.747881400049664,7.747881400049664,7.747881400049664,7.747881400049664,7.747881400049664,7.747881400049664,8.21435060002841,k,0.4652079999214038,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
อรรถพล,สุพัตรา,None,อรรถพล,13,13,0,k,0.7300194998970255,None,0,13,13,3,8.231624800013378,,8.218204400036484,8.231624800013378,8.231624800013378,8.231624800013378,8.231624800013378,8.231624800013378,8.231624800013378,8.965740600018762,k,0.7300194998970255,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
ปริญญา,อาภรณ์,None,ปริญญา,14,14,0,k,0.17773710004985332,None,0,14,14,5,8.981643700040877,,8.966267300071195,8.981643700040877,8.981643700040877,8.981643700040877,8.981643700040877,8.981643700040877,8.981643700040877,9.164332100073807,k,0.17773710004985332,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,วรรณา,15,15,0,j,0.20824740000534803,None,0,15,15,17,9.18130719999317,,9.164858100004494,9.18130719999317,9.18130719999317,9.18130719999317,9.18130719999317,9.18130719999317,9.18130719999317,9.398054199991748,j,0.20824740000534803,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
ธนพล,วาสนา,None,ธนพล,16,16,0,k,0.20867020008154213,None,0,16,16,2,9.415889500058256,,9.40050730004441,9.415889500058256,9.415889500058256,9.415889500058256,9.415889500058256,9.415889500058256,9.415889500058256,9.631470000022091,k,0.20867020008154213,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
ศักดิ์สิทธิ์,สุนิสา,None,ศักดิ์สิทธิ์,17,17,0,k,0.35477500001434237,None,0,17,17,8,9.647632300038822,,9.634122800081968,9.647632300038822,9.647632300038822,9.647632300038822,9.647632300038822,9.647632300038822,9.647632300038822,10.014517400064506,k,0.35477500001434237,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,อาภรณ์,18,18,0,j,0.26727289997506887,None,0,18,18,15,10.030925999977626,,10.01504670002032,10.030925999977626,10.030925999977626,10.030925999977626,10.030925999977626,10.030925999977626,10.030925999977626,10.298974600038491,j,0.26727289997506887,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,19,19,0,k,0.19466620008461177,None,0,19,19,1,10.31540030008182,,10.301086900057271,10.31540030008182,10.31540030008182,10.31540030008182,10.31540030008182,10.31540030008182,10.31540030008182,10.514654100057669,k,0.19466620008461177,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
