3.9258 	EXP 	WOMAN_2: autoDraw = False
3.9258 	EXP 	Fname: autoDraw = False
3.9258 	EXP 	female_pic: autoDraw = False
3.9258 	EXP 	MAN: autoDraw = True
3.9258 	EXP 	WOMAN: autoDraw = True
3.9258 	EXP 	Mname: autoDraw = True
3.9258 	EXP 	men_pic: autoDraw = True
4.0259 	EXP 	Device response: <KeyPress from None: t=3.8961312000174075, value=k, duration=0.11656250001396984>
4.1425 	EXP 	Device response: <KeyPress from None: t=4.129043000051752, value=j, duration=None>
4.1460 	DATA 	Keypress: j
4.1592 	INFO 	Keyboard events cleared
4.1591 	EXP 	MAN: autoDraw = False
4.1591 	EXP 	WOMAN: autoDraw = False
4.1591 	EXP 	Mname: autoDraw = False
4.1591 	EXP 	men_pic: autoDraw = False
4.1591 	EXP 	MAN_2: text = 'MAN'
4.1591 	EXP 	WOMAN_2: text = 'WOMAN'
4.1591 	EXP 	MAN_2: autoDraw = True
4.1591 	EXP 	WOMAN_2: autoDraw = True
4.1591 	EXP 	Fname: autoDraw = True
4.1591 	EXP 	female_pic: autoDraw = True
4.2432 	EXP 	Device response: <KeyPress from None: t=4.129043000051752, value=j, duration=0.09858519991394132>
4.3761 	EXP 	Device response: <KeyPress from None: t=4.367452900041826, value=k, duration=None>
4.3764 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'Male': 'พิสิฐ', 'Female': 'ปัทมา', 'Image': None, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
4.3815 	DATA 	Keypress: k
4.3929 	INFO 	Keyboard events cleared
4.3928 	EXP 	MAN_2: autoDraw = False
4.3928 	EXP 	WOMAN_2: autoDraw = False
4.3928 	EXP 	Fname: autoDraw = False
4.3928 	EXP 	female_pic: autoDraw = False
4.3928 	EXP 	MAN: autoDraw = True
4.3928 	EXP 	WOMAN: autoDraw = True
4.3928 	EXP 	Mname: autoDraw = True
4.3928 	EXP 	men_pic: autoDraw = True
4.4929 	EXP 	Device response: <KeyPress from None: t=4.367452900041826, value=k, duration=0.11490389995742589>
4.5747 	EXP 	Device response: <KeyPress from None: t=4.57079689996317, value=j, duration=None>
4.5814 	DATA 	Keypress: j
4.5937 	INFO 	Keyboard events cleared
4.5936 	EXP 	MAN: autoDraw = False
4.5936 	EXP 	WOMAN: autoDraw = False
4.5936 	EXP 	Mname: autoDraw = False
4.5936 	EXP 	men_pic: autoDraw = False
4.5936 	EXP 	MAN_2: text = 'MAN'
4.5936 	EXP 	WOMAN_2: text = 'WOMAN'
4.5936 	EXP 	MAN_2: autoDraw = True
4.5936 	EXP 	WOMAN_2: autoDraw = True
4.5936 	EXP 	Fname: autoDraw = True
4.5936 	EXP 	female_pic: autoDraw = True
4.6921 	EXP 	Device response: <KeyPress from None: t=4.57079689996317, value=j, duration=0.1106989000691101>
4.7426 	EXP 	Device response: <KeyPress from None: t=4.740040099946782, value=k, duration=None>
4.7428 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'Male': 'ปริญญา', 'Female': 'อาภรณ์', 'Image': None, 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
4.7485 	DATA 	Keypress: k
4.7595 	INFO 	Keyboard events cleared
4.7594 	EXP 	MAN_2: autoDraw = False
4.7594 	EXP 	WOMAN_2: autoDraw = False
4.7594 	EXP 	Fname: autoDraw = False
4.7594 	EXP 	female_pic: autoDraw = False
4.7594 	EXP 	MAN: autoDraw = True
4.7594 	EXP 	WOMAN: autoDraw = True
4.7594 	EXP 	Mname: autoDraw = True
4.7594 	EXP 	men_pic: autoDraw = True
4.8593 	EXP 	Device response: <KeyPress from None: t=4.740040099946782, value=k, duration=0.11501170007977635>
4.8593 	EXP 	Device response: <KeyPress from None: t=4.857908000005409, value=j, duration=None>
4.8645 	DATA 	Keypress: j
4.8758 	INFO 	Keyboard events cleared
4.8757 	EXP 	MAN: autoDraw = False
