thisRow.t,notes,Name,Face,NameGender,ResponseKey,RT,Timeout,participant,session,
,,พอใจ,face4_w.png,f,k,0.06701619998784736,No,Pilot03,002,
,,มั่นคง,face9_m.png,m,j,None,Yes,Pilot03,002,
,,ชูศักดิ์,face1_m.png,m,j,0.10012560000177473,No,Pilot03,002,
,,วันเพ็ญ,face9_w.png,f,k,0.1336738000100013,No,Pilot03,002,
,,สมหญิง,face5_w.png,f,k,0.2504427000239957,No,Pilot03,002,
,,ประทีป,face7_m.png,m,j,0.06778090001898818,No,Pilot03,002,
,,ทองดี,face7_m.png,m,j,0.25049969999236055,No,Pilot03,002,
,,ใบเฟิร์น,face4_w.png,f,j,None,Yes,Pilot03,002,
,,สมปอง,face8_m.png,m,k,None,Yes,Pilot03,002,
,,สายใจ,face2_w.png,f,k,1.6176127000071574,No,Pilot03,002,
,,สมปอง,face10_m.png,m,j,0.3171261000097729,No,Pilot03,002,
,,ฟ้าใส,face3_m.png,f,k,0.20043230001465417,No,Pilot03,002,
,,ฟ้าใส,face7_m.png,f,k,0.2510115999903064,No,Pilot03,002,
,,ทองดี,face2_w.png,m,j,0.0839022999862209,No,Pilot03,002,
,,สายใจ,face2_m.png,f,k,0.41717039997456595,No,Pilot03,002,
,,ใบเฟิร์น,face3_m.png,f,k,0.36687510000774637,No,Pilot03,002,
,,บุญชู,face5_w.png,m,j,0.6000869999988936,No,Pilot03,002,
,,พอใจ,face1_w.png,f,k,0.3169601999979932,No,Pilot03,002,
,,บุญชู,face10_m.png,m,j,0.1343027999973856,No,Pilot03,002,
,,สมหญิง,face10_w.png,f,k,0.06746170000405982,No,Pilot03,002,
,,บุญชู,face1_m.png,m,j,0.16678160001174547,No,Pilot03,002,
,,พอใจ,face6_w.png,f,k,0.41779599999426864,No,Pilot03,002,
,,สมหญิง,face2_w.png,f,k,0.20106610000948422,No,Pilot03,002,
,,สมชาย,face3_m.png,m,k,0.06671769998501986,No,Pilot03,002,
,,วันเพ็ญ,face4_m.png,f,k,0.13351980000152253,No,Pilot03,002,
,,ประเสริฐ,face2_m.png,m,j,0.18363980000140145,No,Pilot03,002,
,,พิกุล,face5_m.png,f,k,0.08391799998935312,No,Pilot03,002,
,,สมปอง,face2_m.png,m,j,0.36747959998319857,No,Pilot03,002,
,,สมชาย,face4_w.png,m,j,0.050110199983464554,No,Pilot03,002,
,,ดวงแก้ว,face2_w.png,f,k,0.15083359999698587,No,Pilot03,002,
,,ใบเฟิร์น,face3_w.png,f,k,0.01715379999950528,No,Pilot03,002,
,,ประเสริฐ,face6_m.png,m,j,None,Yes,Pilot03,002,
,,ดวงแก้ว,face4_m.png,f,k,0.10072009998839349,No,Pilot03,002,
,,ประเสริฐ,face6_w.png,m,j,0.40039100000285544,No,Pilot03,002,
,,ใบเฟิร์น,face5_m.png,f,k,0.33432639998500235,No,Pilot03,002,
,,พิกุล,face9_w.png,f,k,1.0335477000044193,No,Pilot03,002,
,,ทองดี,face1_m.png,m,j,0.5338389000098687,No,Pilot03,002,
,,ชูศักดิ์,face6_m.png,m,j,0.43223330000182614,No,Pilot03,002,
,,ชูศักดิ์,face7_m.png,m,j,0.1503499000100419,No,Pilot03,002,
,,สมปอง,face3_m.png,m,k,0.13363130000652745,No,Pilot03,002,
,,บุญชู,face8_m.png,m,j,0.36704089998966083,No,Pilot03,002,
,,มานะ,face3_w.png,m,j,0.3838732000149321,No,Pilot03,002,
,,ประทีป,face1_m.png,m,j,0.05046510000829585,No,Pilot03,002,
,,วันเพ็ญ,face8_m.png,f,k,0.06704999998328276,No,Pilot03,002,
,,พิกุล,face10_m.png,f,k,0.05037030001403764,No,Pilot03,002,
,,มานะ,face2_m.png,m,j,0.20060100001865067,No,Pilot03,002,
,,ชูศักดิ์,face9_m.png,m,j,0.11704769998323172,No,Pilot03,002,
,,สมชาย,face8_m.png,m,j,0.01689609998720698,No,Pilot03,002,
,,พอใจ,face9_w.png,f,k,0.16684029999305494,No,Pilot03,002,
,,ดวงแก้ว,face7_w.png,f,k,0.15036400000099093,No,Pilot03,002,
,,มั่นคง,face5_m.png,m,j,0.10061759999371134,No,Pilot03,002,
,,ใบเฟิร์น,face5_w.png,f,k,0.06751239998266101,No,Pilot03,002,
,,ประทีป,face1_w.png,m,j,0.08427959997789003,No,Pilot03,002,
,,แก้วตา,face5_m.png,f,j,0.11727049999171868,No,Pilot03,002,
,,พอใจ,face8_m.png,f,k,1.0503294999944046,No,Pilot03,002,
,,สมหมาย,face8_m.png,m,j,0.13372099999105558,No,Pilot03,002,
,,สมชาย,face4_m.png,m,j,0.166791399999056,No,Pilot03,002,
,,ใบเฟิร์น,face1_m.png,f,k,0.13361759998952039,No,Pilot03,002,
,,สมปอง,face4_w.png,m,j,0.20042340000509284,No,Pilot03,002,
,,ดวงแก้ว,face1_w.png,f,k,0.11661649998859502,No,Pilot03,002,
,,ชูศักดิ์,face4_w.png,m,j,0.1504160999902524,No,Pilot03,002,
,,สมหมาย,face2_m.png,m,j,0.4005378999863751,No,Pilot03,002,
,,ประเสริฐ,face5_m.png,m,j,0.10034420000738464,No,Pilot03,002,
,,สมปอง,face5_w.png,m,j,0.08343639998929575,No,Pilot03,002,
,,ใบเฟิร์น,face2_w.png,f,k,0.18372520001139492,No,Pilot03,002,
,,สายใจ,face10_w.png,f,k,0.2506491999956779,No,Pilot03,002,
,,มั่นคง,face8_m.png,m,j,None,Yes,Pilot03,002,
,,มั่นคง,face2_w.png,m,j,None,Yes,Pilot03,002,
,,มานะ,face7_m.png,m,j,0.033499599987408146,No,Pilot03,002,
,,ทับทิม,face7_m.png,f,k,None,Yes,Pilot03,002,
,,พิกุล,face9_m.png,f,k,0.016865999990841374,No,Pilot03,002,
,,ประเสริฐ,face10_m.png,m,j,0.034167900012107566,No,Pilot03,002,
,,ดวงแก้ว,face9_w.png,f,k,0.18335489998571575,No,Pilot03,002,
,,สมปอง,face1_m.png,m,j,0.06699759999173693,No,Pilot03,002,
,,วันเพ็ญ,face7_m.png,f,k,0.15032830002019182,No,Pilot03,002,
,,สมปอง,face8_w.png,m,j,0.16668070000014268,No,Pilot03,002,
,,สมชาย,face1_w.png,m,j,0.11763819999760017,No,Pilot03,002,
,,ชูศักดิ์,face5_w.png,m,j,0.05005570000503212,No,Pilot03,002,
,,สมหมาย,face9_w.png,m,j,0.10028409998631105,No,Pilot03,002,
,,มั่นคง,face10_m.png,m,j,0.06684680000762455,No,Pilot03,002,
,,ประเสริฐ,face9_w.png,m,j,0.08370499999728054,No,Pilot03,002,
